,Season,DayZero,RegionW,RegionX,RegionY,RegionZ
0,1985,10/29/1984,East,West,Midwest,Southeast
1,1986,10/28/1985,East,Midwest,Southeast,West
2,1987,10/27/1986,East,Southeast,Midwest,West
3,1988,11/2/1987,East,Midwest,Southeast,West
4,1989,10/31/1988,East,West,Midwest,Southeast
5,1990,10/30/1989,East,Midwest,Southeast,West
6,1991,10/29/1990,East,Southeast,Midwest,West
7,1992,11/4/1991,East,West,Midwest,Southeast
8,1993,11/2/1992,East,Midwest,Southeast,West
9,1994,11/1/1993,East,Southeast,Midwest,West
10,1995,10/31/1994,East,West,Midwest,Southeast
11,1996,10/30/1995,East,Midwest,Southeast,West
12,1997,10/28/1996,East,Southeast,Midwest,West
13,1998,10/27/1997,East,West,Midwest,South
14,1999,10/26/1998,East,Midwest,South,West
15,2000,11/1/1999,East,South,Midwest,West
16,2001,10/30/2000,East,West,Midwest,South
17,2002,10/29/2001,East,Midwest,South,West
18,2003,11/4/2002,East,South,Midwest,West
19,2004,11/3/2003,Atlanta,Phoenix,EastRutherford,StLouis
20,2005,11/1/2004,Albuquerque,Chicago,Austin,Syracuse
21,2006,10/31/2005,Atlanta,Oakland,Minneapolis,WashingtonDC
22,2007,10/30/2006,East,South,Midwest,West
23,2008,11/5/2007,East,Midwest,South,West
24,2009,11/3/2008,East,South,Midwest,West
25,2010,11/2/2009,East,South,Midwest,West
26,2011,11/1/2010,East,West,Southeast,Southwest
27,2012,10/31/2011,East,Midwest,South,West
28,2013,11/5/2012,East,South,Midwest,West
29,2014,11/4/2013,East,South,Midwest,West
30,2015,11/3/2014,East,South,Midwest,West
32,2017,10/31/2016,East,West,Midwest,South
33,2018,10/30/2017,East,Midwest,South,West
34,2019,11/5/2018,East,West,Midwest,South
35,2020,11/4/2019,NA1,NA2,NA3,NA4
36,2021,11/2/2020,East,West,Midwest,South
37,2022,11/1/2021,East,West,Midwest,South
38,2023,10/31/2022,East,South,Midwest,West
39,2024,11/6/2023,TBD1,TBD2,TBD3,TBD4
