,Season,Seed,TeamID
2014,2016,W01,1314
2015,2016,W02,1462
2016,2016,W03,1452
2017,2016,W04,1246
2018,2016,W05,1231
2019,2016,W06,1323
2020,2016,W07,1458
2021,2016,W08,1425
2022,2016,W09,1344
2023,2016,W10,1338
2024,2016,W11a,1276
2025,2016,W11b,1409
2026,2016,W12,1151
2027,2016,W13,1392
2028,2016,W14,1372
2029,2016,W15,1451
2030,2016,W16a,1192
2031,2016,W16b,1195
2032,2016,X01,1438
2033,2016,X02,1277
2034,2016,X03,1428
2035,2016,X04,1235
2036,2016,X05,1345
2037,2016,X06,1371
2038,2016,X07,1173
2039,2016,X08,1403
2040,2016,X09,1139
2041,2016,X10,1393
2042,2016,X11,1211
2043,2016,X12,1114
2044,2016,X13,1233
2045,2016,X14,1201
2046,2016,X15,1292
2047,2016,X16,1214
2048,2016,Y01,1242
2049,2016,Y02,1437
2050,2016,Y03,1274
2051,2016,Y04,1143
2052,2016,Y05,1268
2053,2016,Y06,1112
2054,2016,Y07,1234
2055,2016,Y08,1160
2056,2016,Y09,1163
2057,2016,Y10,1396
2058,2016,Y11a,1435
2059,2016,Y11b,1455
2060,2016,Y12,1355
2061,2016,Y13,1218
2062,2016,Y14,1138
2063,2016,Y15,1421
2064,2016,Y16,1122
2065,2016,Z01,1332
2066,2016,Z02,1328
2067,2016,Z03,1401
2068,2016,Z04,1181
2069,2016,Z05,1124
2070,2016,Z06,1400
2071,2016,Z07,1333
2072,2016,Z08,1386
2073,2016,Z09,1153
2074,2016,Z10,1433
2075,2016,Z11,1320
2076,2016,Z12,1463
2077,2016,Z13,1423
2078,2016,Z14,1453
2079,2016,Z15,1167
2080,2016,Z16a,1221
2081,2016,Z16b,1380
