,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
1331,2016,133,1213,78,1354,74,H,0,CIT
1332,2016,133,1238,81,1358,77,A,1,CIT
1333,2016,134,1123,78,1398,73,A,2,CIT
1334,2016,134,1157,65,1273,57,H,0,CIT
1335,2016,134,1166,72,1104,54,H,0,NIT
1336,2016,134,1196,97,1316,68,A,0,NIT
1337,2016,134,1199,84,1172,74,H,0,NIT
1338,2016,134,1202,58,1419,57,H,0,CIT
1339,2016,134,1287,84,1373,80,A,0,CBI
1340,2016,134,1326,72,1103,63,H,1,NIT
1341,2016,134,1361,79,1236,55,H,0,NIT
1342,2016,134,1376,88,1219,66,H,0,NIT
1343,2016,134,1388,58,1308,56,H,0,NIT
1344,2016,134,1434,84,1411,73,H,0,NIT
1345,2016,134,1449,107,1253,102,H,0,NIT
1346,2016,135,1131,69,1200,66,A,0,CIT
1347,2016,135,1140,97,1412,79,H,0,NIT
1348,2016,135,1162,86,1313,54,H,0,CIT
1349,2016,135,1182,120,1303,112,H,0,CBI
1350,2016,135,1186,79,1337,72,H,0,CBI
1351,2016,135,1203,82,1220,80,H,0,NIT
1352,2016,135,1208,93,1125,84,H,0,NIT
1353,2016,135,1210,81,1222,62,H,0,NIT
1354,2016,135,1284,90,1137,80,H,0,NIT
1355,2016,135,1305,79,1285,75,H,0,CBI
1356,2016,135,1306,77,1193,62,A,0,CIT
1357,2016,135,1312,79,1119,65,H,0,CIT
1358,2016,135,1325,94,1107,90,H,1,CBI
1359,2016,135,1370,68,1225,63,H,0,CBI
1360,2016,135,1404,76,1141,73,A,0,CIT
1361,2016,135,1414,89,1315,86,A,1,CIT
1362,2016,135,1418,96,1394,72,H,0,CIT
1363,2016,135,1422,69,1223,65,H,0,CBI
1364,2016,135,1426,75,1366,59,A,0,CIT
1365,2016,135,1436,79,1441,74,H,0,CBI
1366,2016,135,1439,86,1343,81,H,1,NIT
1367,2016,135,1447,79,1382,75,A,0,NIT
1368,2016,136,1213,64,1238,54,H,0,CIT
1369,2016,136,1434,81,1199,69,H,0,NIT
1370,2016,137,1140,80,1439,77,H,0,NIT
1371,2016,138,1157,71,1306,62,H,0,CIT
1372,2016,138,1166,87,1447,54,H,0,NIT
1373,2016,138,1418,80,1202,72,A,0,CIT
1374,2016,139,1123,83,1404,80,H,1,CIT
1375,2016,139,1196,74,1326,66,A,0,NIT
1376,2016,139,1388,77,1208,65,H,0,NIT
1377,2016,140,1203,87,1284,71,A,0,NIT
1378,2016,140,1210,83,1376,66,A,0,NIT
1379,2016,140,1287,82,1182,72,H,0,CBI
1380,2016,140,1305,85,1186,70,H,0,CBI
1381,2016,140,1312,83,1131,72,H,0,CIT
1382,2016,140,1325,72,1422,67,H,0,CBI
1383,2016,140,1361,93,1449,78,H,0,NIT
1384,2016,140,1436,73,1370,54,A,0,CBI
1385,2016,141,1140,88,1166,82,H,0,NIT
1386,2016,141,1434,60,1388,44,H,0,NIT
1387,2016,142,1157,60,1213,58,H,0,CIT
1388,2016,142,1162,69,1123,67,H,0,CIT
1389,2016,142,1203,82,1196,77,H,0,NIT
1390,2016,142,1287,77,1325,72,A,0,CBI
1391,2016,142,1305,86,1436,72,H,0,CBI
1392,2016,142,1361,72,1210,56,H,0,NIT
1393,2016,142,1414,67,1418,66,A,0,CIT
1394,2016,143,1312,63,1426,60,H,0,CIT
1395,2016,146,1162,80,1312,65,H,0,CIT
1396,2016,146,1414,66,1157,47,A,0,CIT
1397,2016,147,1190,88,1256,83,N,0,V16
1398,2016,147,1287,86,1305,83,H,0,CBI
1399,2016,147,1324,90,1406,72,N,0,V16
1400,2016,147,1330,75,1399,59,N,0,V16
1401,2016,147,1364,70,1296,63,N,0,V16
1402,2016,148,1162,73,1414,67,H,0,CIT
1403,2016,148,1203,65,1361,46,N,0,NIT
1404,2016,148,1324,104,1190,81,N,0,V16
1405,2016,148,1330,64,1364,49,N,0,V16
1406,2016,148,1434,72,1140,70,N,0,NIT
1407,2016,149,1305,77,1287,68,H,0,CBI
1408,2016,149,1330,68,1324,67,N,0,V16
1409,2016,150,1203,76,1434,60,N,0,NIT
1410,2016,151,1305,85,1287,82,H,1,CBI
